TICKER,Type,YEARREPORT,LENGTHREPORT,ENDDATE_x,Date_Quarter,TOI,PBT,NIM,Loan yield,Deposit yield,ROA,ROE,NPL,GROUP 2,NPL Formation (%),G2 Formation (%),NPL Coverage ratio,Provision/ Total Loan,Loan,Deposit,Total Assets,Total Equity,Leverage Multiple,Net Interest Income,OPEX,PPOP,Provision expense,NPATMI,LDR,CASA,CIR,Individual %,Fees/ Total asset,Provision on Balance Sheet,Write-off,Overdue_loan,Fees Income
ABB,Private_3,2020,4,2020-12-31,2020-Q4,1195259000000.0,457609000000.0,,,,,,0.02091515399509814,0.01640493455603119,,,0.532652558646186,0.011140510289968025,63293151000000.0,72508223000000.0,116598358000000.0,8912270000000.0,13.082902335768553,681721000000.0,-627516000000.0,567743000000.0,-110134000000.0,365546000000.0,0.8729099732591709,0.18439354112981088,0.5250042041097369,0.0,,-705118000000.0,0.0,0.03732008855112933,54399000000.0
ABB,Private_3,2021,1,2021-03-31,2021-Q1,999062000000.0,477952000000.0,0.026752816026451624,0.08371137115425861,0.004523390965452485,0.017716998281420412,0.2084965268400482,0.020413041772174484,0.015066041067894697,0.0009023409183720368,0.0006000175279628596,0.5326323884892294,0.010872647195443709,67647831000000.0,71999837000000.0,98009102000000.0,9324005000000.0,10.511481064199344,688378000000.0,-400010000000.0,599052000000.0,-121100000000.0,475275000000.0,0.9395553353822176,0.16727278146476915,0.4003855616568341,0.0,0.002040562802430074,-735511000000.0,0.0,0.03547908284006918,54740000000.0
ABB,Private_3,2021,2,2021-06-30,2021-Q2,1319217000000.0,713463000000.0,0.029118182994225045,0.08255556072985133,0.0007301636766766661,0.018125000498024013,0.20274278666123097,0.023230208776286117,0.013984854219602742,0.002597348612699792,0.0013838285517240013,0.5549025666788513,0.012890502474446746,67007706000000.0,67136580000000.0,112824106000000.0,9524271000000.0,11.845957134147065,740195000000.0,-396987000000.0,922230000000.0,-208767000000.0,477669000000.0,0.9980804205397416,0.18702537424456236,0.30092623124171386,0.5281259993828913,0.0032015829309014737,-863763000000.0,0.0,0.03721506299588886,84375000000.0
ABB,Private_3,2021,3,2021-09-30,2021-Q3,878898000000.0,407895000000.0,0.028007180048904203,0.08008851472693931,0.004214712812585576,0.01151312135066357,0.13378781816219057,0.029089496544110246,0.024478853462993194,0.005710462614553616,0.0160792252759705,0.4555802042853725,0.013252598778124382,66664887000000.0,67053917000000.0,113875841000000.0,9984411000000.0,11.405363921817722,768197000000.0,-386048000000.0,492850000000.0,-84955000000.0,326253000000.0,0.9941982509388676,0.20792631696668817,0.43924095856401996,0.0,0.002436065854042745,-883483000000.0,0.0,0.053568350007103444,69032000000.0
ABB,Private_3,2021,4,2021-12-31,2021-Q4,1356447000000.0,359499000000.0,0.030609963165887502,0.08030159665503132,0.003388222147632422,0.009535359607013362,0.10344949868454952,0.02062082541779,0.024366520125920794,-0.007751321921538695,-0.00701600229218119,0.5209408459852921,0.010742230238058538,68983999000000.0,67839732000000.0,121694509000000.0,11729063000000.0,10.375467247468958,869218000000.0,-716073000000.0,640374000000.0,-280875000000.0,280781000000.0,1.0168672099117373,0.1708172137236627,0.5279034123707008,0.0,0.004841695909523418,-741042000000.0,0.0,0.0449873455437108,142570000000.0
ABB,Private_3,2022,1,2022-03-31,2022-Q1,1056939000000.0,575596000000.0,0.02751750390762031,0.07722096409209865,0.005009633882934063,0.014716048463697392,0.15456710638668583,0.0231630277544141,0.02440499629047586,0.004037284066410821,0.005651006112301492,0.47849137132829517,0.011083308914324965,73436643000000.0,71321893000000.0,128599312000000.0,12100949000000.0,10.62720882469631,827949000000.0,-437105000000.0,619834000000.0,-44238000000.0,460417000000.0,1.029650783385685,0.1865772547568248,0.413557452227612,0.0,0.0020282082792607175,-813921000000.0,0.0,0.04756802404488996,63456000000.0
ABB,Private_3,2022,2,2022-06-30,2022-Q2,1749041000000.0,1085140000000.0,0.031305179668203134,0.08238088782777857,0.005908227021562628,0.026819802713642028,0.2859727103342355,0.023033660235588293,0.014217180132686098,0.0012098592251827197,-0.008151339379715383,0.5268855772760261,0.012136103370007787,77706408000000.0,73707270000000.0,130198714000000.0,12170290000000.0,10.698078188769536,977229000000.0,-491477000000.0,1257564000000.0,-172424000000.0,867614000000.0,1.0542570359748773,0.17180192672988703,0.28099798689681943,0.5272874016514781,0.0026761564247789124,-943053000000.0,0.0,0.03725084036827439,86573000000.0
ABB,Private_3,2022,3,2022-09-30,2022-Q3,936305000000.0,85811000000.0,0.031000007564530516,0.08669381019106824,0.01839042766712302,0.002092358239714779,0.02217889645794024,0.023455469951914512,0.012754979080872775,0.0013644691953847616,0.00041488212915465094,0.5078171688140299,0.011911090344183778,80829376000000.0,74747519000000.0,132035539000000.0,12568903000000.0,10.504937383954669,979952000000.0,-540891000000.0,395414000000.0,-309603000000.0,68586000000.0,1.0813653360187112,0.17546713490249757,0.5776867580542665,0.0,-0.003261755435129979,-962766000000.0,0.0,0.036210449032787285,-106918000000.0
ABB,Private_3,2022,4,2022-12-31,2022-Q4,776822000000.0,-45375000000.0,0.030363538393595846,0.09505287807242932,0.0275601147668864,-0.001230829403921013,-0.012595151506730904,0.02884514318944812,0.020227067576538717,0.005811228828489286,0.013578924573165082,0.43393984382034395,0.012517056930604576,82010652000000.0,84124614000000.0,130161642000000.0,13053655000000.0,9.971279461576087,951123000000.0,-573133000000.0,203689000000.0,-249064000000.0,-40340000000.0,0.9748710644901146,0.12712612268271448,0.7377919265932221,0.0,0.005764547102434332,-1026532000000.0,0.0,0.049072210765986835,188931000000.0
ABB,Private_3,2023,1,2023-03-31,2023-Q1,1267175000000.0,611672000000.0,0.025040192808100156,0.10195862519887428,0.02374663008063494,0.014786445225601845,0.14758087940901704,0.04025142780130675,0.0319562330016874,0.010151022820791621,0.02088361643558205,0.35688022360769717,0.014364938554259432,79453107000000.0,75429560000000.0,134282715000000.0,13441593000000.0,9.990089344321019,790381000000.0,-538657000000.0,728518000000.0,-116846000000.0,488774000000.0,1.0533417800660643,0.09686583084933811,0.42508493302030104,0.0,0.0040531475587508945,-1141339000000.0,0.0,0.07220766080299415,133979000000.0
