TICKER,Type,YEARREPORT,LENGTHREPORT,ENDDATE_x,Year,TOI,PBT,NIM,Loan yield,Deposit yield,ROA,ROE,NPL,GROUP 2,NPL Formation (%),G2 Formation (%),NPL Coverage ratio,Provision/ Total Loan,Loan,Deposit,Total Assets,Total Equity,Leverage Multiple,Net Interest Income,OPEX,PPOP,Provision expense,NPATMI,LDR,CASA,CIR,Individual %,Fees/ Total asset,Provision on Balance Sheet,Write-off,Overdue_loan
ACB,Private_1,2025,5,2025-12-31,2025,35416699961129.0,22495321833396.5,0.03151416495484269,,,0.019217419728028737,0.19379030785563542,0.012895530934304024,0.003786388518756902,0.003595572114300321,0.00335284465091462,0.7897278553010052,0.010183959987715685,696823500000000.0,639392450200000.0,1008905199858570.0,102267501811444.0,9.865354897577745,28999460053386.5,-10812943950675.2,,-2108490922966.48,17996257466717.2,1.0898212823470714,,0.30530636571286324,,,-7096422642500.0,-1751624280466.48,0.016681919453060925
ACB,Private_1,2026,5,2026-12-31,2026,40393706208415.1,25738295484099.4,0.031221720855636053,,,0.018678132118705268,0.1846126130557568,0.011895530934304024,0.002786388518756902,0.0024182467874528492,0.0019755244912042294,0.8944884203953098,0.01064041467518915,836188200000000.0,760877015738000.0,1195880188361160.0,120801074559995.0,9.899582373062705,33709437664297.6,-12130487109122.2,,-2525064142296.65,20590636387279.5,1.0989794443836014,,0.30030636571286173,,,-8897389194500.0,-724097590296.6499,0.014681919453060927
BID,SOCB,2025,5,2025-12-31,2025,87134430824623.1,34475639089409.9,0.021798255580089326,,,0.009322991422684224,0.17421909774926328,0.0158,0.014,0.014532691839057742,0.01416080232151593,1.0687703435804703,0.016886571428571428,2385055607200000.0,2265677773040000.0,3159480854474450.0,166055556105939.0,19.02664944531447,63336647396623.1,-29190034326248.7,,-23468757483901.7,27088166260865.2,1.052689678815105,,0.3349999999999996,,,-40275411872097.6,-21232116611804.098,0.0298
BID,SOCB,2026,5,2026-12-31,2026,99432636655679.1,38952246621062.2,0.023289551000857375,,,0.00922894643845074,0.17251488579157764,0.014,0.016,0.008442203019827477,0.013002203019827477,1.2100357142857154,0.016940500000000018,2766664504352000.0,2605529438996000.0,3597692441339760.0,188760457830558.0,19.059566196693858,77127628385299.1,-34801422829487.7,,-25678967346269.8,30605522060638.8,1.0618435021091495,,0.35000000000000014,,,-46868680035975.1,-19085699182392.3,0.03
CTG,SOCB,2025,5,2025-12-31,2025,87723745881336.6,37996463910538.2,0.02709046918817189,,,0.011958525344400216,0.18782598628303698,0.012050377063422343,0.013259632731463683,0.009135037008226455,0.010967073922061345,2.047529415596266,0.024673501506383796,1989116978890000.0,1863127855480000.0,2698378075740600.0,173472920843500.0,15.55503915319996,67474915898361.1,-24562648846774.3,,-25164633195016.0,30237882849302.0,1.0676223711858686,,0.28000000000000064,,,-49078480775016.0,-12750277420000.0,0.025310009794886026
CTG,SOCB,2026,5,2026-12-31,2026,96946820729430.6,44379738915409.5,0.02739575176064589,,,0.012390712707533036,0.18832450551313323,0.012046384553694243,0.013255239573275122,0.010128479303566055,0.01198482788597097,2.111938459951612,0.025441222842313906,2268344899976100.0,2123965755247200.0,3032332008553870.0,201600337678708.0,15.041304213421114,76631251635161.6,-27145109804240.6,,-25421972114918.2,35317742971197.2,1.0679762111852393,,0.28000000000000036,,,-57709468083518.2,-16790984806415.996,0.025301624126969367
EIB,Private_2,2025,5,2025-12-31,2025,10276012963881.1,5328443317206.68,0.03048654023478997,,,0.016754921488343576,0.1558383921148319,0.0251021793175607,0.010162337624254303,0.007173972506246666,0.009096957084778418,0.4802357832252816,0.012054964745230228,195734327430000.0,180843455520000.0,266588658320199.0,29341388977362.7,9.085754547130538,7453307263881.08,-3904884926274.81,,-1042684921200.0,4241982977362.71,1.0823412263782648,,0.3799999999999992,,,-2359570416600.0,-452267504600.0,0.035264516941815004
EIB,Private_2,2026,5,2026-12-31,2026,12351919619563.2,6620317490304.74,0.03224089153742348,,,0.018239942108358963,0.1644770510103581,0.025086538687982475,0.01015600568962747,0.00784532906452075,0.009674549836886525,0.5162829398703379,0.012951751945002562,231110506367400.0,206161539292800.0,309995487531552.0,34599819697829.5,8.959453842211742,8913793104523.19,-4446691063042.75,,-1284911268230.5,5258430720466.77,1.1210165929114757,,0.3599999999999999,,,-2993285950354.5,-651195734476.0,0.035242544377609944
EVF,Private_3,2025,5,2025-12-31,2025,2042835600000.0,957132640000.0,,,,0.012716221037117902,0.08123918677187934,,,,,,,,,60361278920000.0,9769905920000.0,6.178286609335129,1964295600000.0,-208086800000.0,,-877616160000.0,762717920000.0,,,0.1018617455070785,,,,,
EVF,Private_3,2026,5,2026-12-31,2026,2451402720000.0,1148559168000.0,,,,0.015048962714656671,0.08948992639700994,,,,,,,,,61276540424000.0,10685167424000.0,5.734729086824274,2357154720000.0,-249704160000.0,,-1053139392000.0,915261504000.0,,,0.1018617455070785,,,,,
